Regalo;Coste_Total;Recaudado;imagen;titulo;descripcion;concepto
Sudafrica;12000;0;/galeria/regalos/capetown.jpg;Viaje a Sudáfrica;Queremos recorrer Sudáfrica desde sus playas hasta sus montañas y disfrutar de la cultura y naturaleza que tiene para ofrecer este hermoso país.;Viaje a Sudáfrica
InmersionTiburones;300;0;/galeria/regalos/tiburon-blanco.png;Inmnersión con tiburón blanco;Todos los que conocéis a Bea sabeis la ilusión que le haría poder ver un tiburón de cerca. En nuestra luna de miel, queremos hacer una inmersión con tiburones blanco para que por fin pueda cumplir su sueño.;Inmnersión con tiburón blanco
AvistamientoBallenas;300;0;/galeria/regalos/ballenas.jpg;Avistamiento de ballenas;Queremos atesorar recuerdos inolvidables. Ayúdanos a vivir una mágica experiencia de avistamiento de ballenas en Sudáfrica.;Avistamiento de ballenas
Safari;2000;0;/galeria/regalos/safari/4.jpg;Safari en África;¡No podemos pasar por África sin vivir la aventura inolvidable que es ver a animales salvajes en su hábitat natural!;Safari en África
CamaraFotos;300;0;/galeria/regalos/camara-fotos.jpg;Cámara de fotos;Para que no se nos olviden todas estas aventuras ¡Qué mejor que una cámara de fotos para capturar los momentos que vamos a vivir!;Cámara de fotos
Mauricio;1000;0;/galeria/regalos/mauricio1.jpg;Descanso en Mauricio;Disfrutar de unas vacaciones paradisíacas en las playas de Mauricio. Queremos relajarnos y disfrutar del sol y el mar en este hermoso lugar.;Vacaciones en Mauricio
Vajilla;500;0;/galeria/regalos/vajilla1.jpg;Vajilla;Ahora que vamos a empezar una vida juntos, nos gustaría tener una vajilla personalizada que nos acompañe en ocasiones especiales y nos recuerde el día más féliz de nuestras vidas.;Vajilla
CadenaMusica;150;0;/galeria/regalos/cadena1.jpg;Cadena de música;Un sistema de sonido de alta calidad para disfrutar de nuestra música favorita. Queremos llenar nuestra casa con música y buenos momentos.;Cadena de música
ONG;600;0;/galeria/regalos/ong1.jpg;Donación a ONG;Contribuir a una causa benéfica a través de una donación a una ONG. Queremos apoyar a quienes más lo necesitan y hacer una diferencia en sus vidas.;Donación a ONG
